label,review,translated_review
1,商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错!,"The large business bed room, the room is large, the bed is 2m wide, and the overall feel is good for economy!"
1,早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,"Breakfast is too bad, no matter how many people go, there is no food over there.The hotel should pay attention to this problem.The room itself is very good."
1,宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足-_-||。。。呵还有一大优势就是从宾馆出发，步行不到十分钟就可以到梅兰芳故居等等，京味小胡同，北海距离好近呢。总之，不错。推荐给节约消费的自助游朋友~比较划算，附近特色小吃很多~,"The hotel is on the small street, it is not easy to find, but fortunately, there are many enthusiastic compatriots in Beijing ~ The hotel facilities are similar to the introduction. The room is small and it is really small, but the low price factors are still worth it; the environment is good; the environment is good; the environment is good;In the Little Hutong, quiet and tidy, good heating -_- ||.EssenceEssenceHey has a big advantage that starts from the hotel, and you can go to Mei Lanfang's former residence in less than ten minutes. Jingwei Xiaohu is the same, Beihai is very close to Beihai.In short, yes.Recommended for self -service friends who save consumption ~ more cost -effective, there are many specialty snacks nearby ~"
1,"CBD中心,周围没什么店铺,说5星有点勉强.不知道为什么卫生间没有电吹风","CBD Center, there are no shops around, saying that 5 stars are a bit reluctant. I don’t know why there is no hair dryer in the bathroom"
1,总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,"In general, such a hotel is okay with such a price. I hope he will make a good impression on my guests quickly and give my guests a good impression."
1,1。酒店比较新，装潢和设施还不错，只是房间有些油漆味。2。早餐还可以，只是品种不是很多。3。交通比较方便，周围的小饭店比较多。,"1.The hotel is relatively new, the decoration and facilities are pretty good, but the room has a paint flavor.2.Breakfast is okay, but there are not many varieties.3.The transportation is more convenient, and there are more small restaurants around."
1,我住的是特色标间，所谓特色，是有些类似家的感觉。寝具不是单调的白色，是条纹和大格子的，感觉很温馨。圈儿椅的靠垫是卡通的加菲猫头，明黄的颜色有点扎眼，和周围配在一起感觉有点不协调。客房硬件评价3.5分。加湿器、烫衣板、电熨斗、吹风机、小冰箱等俱全。缺点：液晶电视固定在墙上，位置不好。一是遮挡了一个电源插座；二是与桌子搭配不当。桌子（与冰箱柜一体）在电视下方，如果坐在桌子旁上网或工作学习，正好挡住了电视屏幕。错开坐，正好是冰箱柜，腿脚伸不开。,"I live in a characteristic standard room. The so -called characteristic is a bit similar to the family.Bedding is not monotonous white, it is stripes and large grids, and it feels very warm.The cushion of the circle chair is the cartoon Garfield's head. The color of the bright yellow is a bit eye -catching, and it feels a bit uncoordinated with the surroundings.The hardware evaluation of the rooms is 3.5 points.The humidifier, hot clothing board, electric iron, hair dryer, small refrigerator, etc.Disadvantages: LCD TV is fixed on the wall, and the location is not good.The first is to block a power socket; the other is not properly paired with the table.The table (integrated with the refrigerator cabinet) is below the TV. If you sit by the table or work and study, just block the TV screen.Sitting open, just the refrigerator cabinet, the legs and feet are not open."
1,早餐很丰富，服务也热情，早上很早退房时，前台值此人员办理手续也非常快．,"Breakfast is very rich and the service is also enthusiastic. When you check out early in the morning, the front desk is also very fast."
1,好像跟洪崖洞酒店一个公司的，所以房间的风格比较接近，就是小一些，整体来说比较不错，房间内食品都是免费，很实在。就是早餐实在不敢恭维，大堂环境比较差。整体来说不错，属于比较好的三星级酒店。,"It seems to be a company with Hongya Dong Hotel, so the style of the room is closer, which is small, and the overall is relatively good. The food in the room is free and very real.That is, the breakfast is really dare to compliment, and the lobby environment is relatively poor.Overall is good, it is a better Samsung hotel."
1,"价格偏高,服务一般.窗外风景ok.早餐还不错","The price is high, the service is average. The scenery outside the window is OK. Breakfast is not bad"
1,知道网线接口在哪儿吗？比高家庄的地道口还隐蔽。在床头柜后面！想不道吧？看你怎么用。1：自带4米以上网线；2：自带小板凳：3：房间的垃圾桶可翻过来坐......,Do you know where the network cable interface is?The authentic entrance of Gaojiazhuang is still hidden.Behind the bedside table!Don't think about it?See how you use it.1: Comes with a network cable of more than 4 meters; 2: Bring a small bench: 3: The trash can in the room can be turned over ...
1,沈阳市政府的酒店，比较大气，交通便利，出门往左就是北陵公园，环境好。,The hotel of the Shenyang Municipal Government is relatively atmospheric and convenient for transportation. It is Beiling Park to the left. The environment is good.
1,总体感觉不错，美中不足的是房与房之间隔音效果不太好，还有房价感觉稍高。,"The overall feeling is good. The shortcomings are not good at the room and the room, and the house price feels slightly higher."
1,"设施虽稍陈旧一些,但良好的服务给人温暖.酒店所处地理位置和环境极好.对年龄较大的个人旅游者而言,入住该酒店不失为较佳选择.","Although the facilities are slightly older, good services give people warm. The geographical location and environment of the hotel are excellent. For older personal tourists, it is a better choice to stay in the hotel."
1,早餐很不错，离市中心比较近，购物方便，但是5号楼的房间相当于3星标准。不过相对于房价也值了补充点评2008年8月11日：另外，房间提供的拖鞋太小了，根本穿不下，难道是给女士设计的？我是42码的脚啊。宾馆反馈2008年8月14日：尊敬的宾客：您好！感谢您入住金陵溧阳宾馆！并及时把您的感受和意见告知我们！对于你提出的拖鞋太小的问题。等您下次入住金陵溧阳宾馆时只需向我们的服务员提出。我们将根据您的意见记录特别需求，提供您满意的服务！，发扬金陵溧阳宾馆“以客为尊”的服务理念，让每一位宾客都能对金陵溧阳宾馆留下美好而深刻的印象。再次向您表示感谢！期待您的再次光临！祝您工作顺利！身体健康！金陵溧阳宾馆客务关系主任,"Breakfast is very good. It is closer to the city center and is convenient for shopping, but the room in Building 5 is equivalent to the 3 -star standard.However, it is also worth a supplementary review on August 11, 2008: In addition, the slippers provided by the room are too small and cannot be worn at all. Is it for the lady?I am 42 yards.Hotel feedback on August 14, 2008: Dear guest: Hello!Thank you for staying at the Jinling Puyang Hotel!And inform us of your feelings and opinions in time!For the problem you raised too small.When you stay at the Jinling Puyang Hotel next time, you only need to propose to our waiters.We will provide your satisfaction service based on your special needs!, To carry forward the service concept of ""Visit"" of Jinling Puyang Hotel, so that every guest can leave a good and deep impression on Jinling Puyang Hotel.Thank you again!welcome next time!I wish you a smooth work!In good health!Jinling Puyang Hotel's Director Director"
1,房间稍小，但清洁，非常实惠。不足之处是：双人房的洗澡用品只有一套.宾馆反馈2008年8月5日：尊敬的宾客：您好！感谢您选择入住金陵溧阳宾馆！对于酒店双人房内的洗漱用品只有一套的问题，我们已经召集酒店相关部门对此问题进行了研究和整改。努力将我们的管理与服务工作做到位，进一步关注宾客，关注细节！再次向您表示我们最衷心的感谢！期待您能再次来溧阳并入住金陵溧阳宾馆！让我们有给您提供更加优质服务的机会！顺祝您工作顺利！身体健康！金陵溧阳宾馆客务关系主任,"The room is slightly smaller, but clean and very affordable.The disadvantage is: there is only one set of bath supplies in the double room. Hotel feedback on August 5, 2008: Dear guest: Hello!Thank you for choosing to stay at the Jinling Puyang Hotel!There is only one problem for the washing supplies in the hotel's double room. We have convened the hotel's relevant departments to study and rectify this issue.Strive to make our management and service work in place, pay more attention to guests, and focus on details!I will tell you again for your heartfelt thanks!Looking forward to you can come to Puyang again and stay in Jinling Puyang Hotel!Let us have a chance to provide you with better services!I wish you a good job!In good health!Jinling Puyang Hotel's Director Director"
1,3人间还是比较大的，就是暖气不是太暖和，时冷时热。被单会有油污的地方，不过还可以接受。洗漱间和厕所没有暖气洗澡刚开始会较冷。24小时热水、比较周到的服务、桶式饮用水还是不错的。周围环境还可以比较安静，西到西直门、动物园；北到积水潭、新街口豁口；南到西单；东到后海还是比较方便的地理位置。豁口新开的新华百货商场比较气派，还不错可以逛逛。推荐居住！,"The three people are still relatively large, that is, the heating is not too warm, it is cold and hot.There will be oil stains alone, but it is acceptable.The bathroom and toilet did not have a heating to take a bath. It would be colder at first.24 -hour hot water, thoughtful service, and barrel drinking water are still good.The surrounding environment can also be relatively quiet, west to west straight door, zoo; north to Qishuitan, Xinjiekou gap; south to west alone; east to Houhai is still more convenient geographical location.The newly opened Xinhua Department Store is more elegant, and it is good to visit.Recommended living!"
1,我们住的是8号五星楼，总体来讲还可以，服务还有些欠缺，退房是时间太长宾馆反馈2008年5月6日：非常感谢您入住金陵溧阳宾馆，并通过网站将您的入住感受与我们分享。我们宾馆始终致力于不断提升酒店的软件和硬件设备，为客人提供良好的入住环境和美好的入住体验，您的意见我们已做过专题讨论会，对于退房等一系列服务已做出改进。恭候您的再次光临！,"We live in the five -star building on the 8th. Generally speaking, the service is still lacking. The check -out is too long Hotel to feedback May 6, 2008: Thank you very much for staying at the Jinling Puyang Hotel, and pass your stay through the websiteFeel sharing with us.Our hotel has always been committed to continuously improving the hotel's software and hardware equipment, providing guests with a good check -in environment and a beautiful check -in experience. Your opinion has done a special discussion, and a series of services such as check -up have been improved.Waiting for you to come again!"
1,帮JJ定的好像不怎么样哦水好像差点意思补充点评2008年3月29日：我点了3分怎么还是显示4分啊,"Help JJ's fixed seems not very good. Water seems to be almost meaningful to add comments on March 29, 2008: Why do I still show 3 points and show 4 points?"
1,房间还可以，楼下有食街，服务态度很好！不过网络不太好，总是断线；早餐一般般。,"The room is okay. There is a food street downstairs, and the service attitude is very good!However, the network is not very good, and it is always broken; breakfast is generally like."
1,去住的话最好是住朝向大院的房间，因为酒店后面有中央空调的一些设备，晚上响起来的话影响休息的。早餐很一般，没甚么好吃的东西。酒店旁边有条小路，那里有几家实惠的小饭店，比如私家菜甚么的。总的来说，出差宜兴，国际饭店还是第一选择。,"If you live, it is best to live in the room of the big courtyard, because behind the hotel has some equipment of the central air conditioner, it will affect the rest at night.Breakfast is very average, there is nothing delicious.There is a small road next to the hotel, where there are several affordable small restaurants, such as private food or something.Overall, on a business trip, the international hotel is still the first choice."
1,自助早餐非常好，服务很周到，下次还会去住。,"The buffet breakfast is very good, the service is very thoughtful, and I will live next time."
1,前台小姑娘很有意思，经常入住，都熟了，呵呵,The little girl at the front desk is very interesting. She often moves in and is familiar. Haha
1,相当于五星的服务，好于四星的早餐，差不多三星的房价就是要借东西补充点评2008年5月12日：有个印度啊三，很有派头，服务热情,"It is equivalent to the five -star service, which is better than four -star breakfast. Almost Samsung's house prices are to use things to add comments on May 12, 2008: There is an Indian three, very enthusiastic, service enthusiasm"
1,离机场很近，房间里的床很大，里面还有一面镜子,"It's close to the airport, the bed in the room is very large, and there is a mirror in it"
1,超赞！虽然窗正对中环，但一点也不觉得吵。房间很干净、整齐，给人很舒服的感觉，服务也很好，价格也不贵，非常满意！,"Awesome!Although the window is facing Central, I don't feel noisy at all.The room is very clean and neat, it feels comfortable, the service is also very good, the price is not expensive, very satisfied!"
1,大堂不错，有四星的样子，房间的设施一般，感觉有点旧，卫生间细节不错，各种配套东西都不错，感觉还可以，有机会再去泰山还要入住。,"The lobby is good. There are four stars. The facilities in the room are average. It feels a bit old. The details of the bathroom are good. Various supporting things are good. It feels okay. If you have the opportunity to go to Taishan, you have to stay."
1,不错的酒店!房间较大并舒适!因为是住21层很安静!1楼餐厅菜肴价廉物美就是品种很少!是桐乡很好的酒店!,Good hotel! The room is large and comfortable! Because it is very quiet to live in the 21st floor! The price of the restaurant on the first floor is very good. There are very few varieties! It is a good hotel in Tongxiang!
1,性价比较高，硬件设施比过去更加改善。满意！,"The cost is relatively high, and the hardware facilities are more improved than in the past.satisfy!"
1,"商务标间房间比较大,但洗手间很小.隔音效果也不太好.总体说来还算干净,整洁.交通很方便,离静安寺很近.","The business room room is relatively large, but the toilet is very small. The sound insulation effect is not very good. Generally speaking, it is clean, clean. The transportation is very convenient, and it is very close to Jing'an Temple."
1,房间太小了，而且我自己用格林豪泰的会员卡定的房间比携程定的房间好，他是五楼的最后一间房，好像是522吧，房间很大，而且床也超大的，比1米8的大多了，希望携程以后可以提供这样的房间,"The room is too small, and I use Green Haotai's member Kedar's room to be better than the Cable. He is the last room on the fifth floor. It seems to be 522. The room is large and the bed is too large.There are most than 1.8 meters. I hope Ctrip can provide such a room in the future"
1,价廉物美的好选择，晚上到机住十分合适，服务很热情，房间没地毯很清爽，海景很好看,The good choice for cheap and good quality. It is very suitable to live in the machine at night. The service is very enthusiastic. The room is very refreshing. The sea view is very good.
1,"酒店的设施和环境都不错的,就是周围没有什么集市和超市,在房间的阳台上就能看到一望无际的大海,真的心情非常的不错.唯一的就是每天的早餐都是一样的东西.离机场和市区也不是太远.(30元内都能搞定).","The hotel's facilities and environment are good, that is, there are no markets and supermarkets around. You can see the endless sea on the balcony of the room. Really a good mood. The only thing is that the breakfast every day is the same thing.It is not too far from the airport and the urban area. (It can be done within 30 yuan)."
1,地理位置还可以，在西湖边上，附近有一些大排挡，饮食也比较方便。酒店服务很好，服务生和前台人员都很热情，房间大而整洁，价格性价比高，如果下次去西湖还会入住。,"The geographical location is okay. There are some large gears near the West Lake, and the diet is more convenient.The hotel service is very good, the waiters and front desk staff are very enthusiastic, the room is large and neat, and the price is cost -effective. If you go to West Lake next time, you will stay."
1,标准的商务酒店，最大的优点就是位置好。房间比较干净，设施还行，但有些细节还需要改进。楼层服务员很不错（上次住的6楼，在这里表扬一下这位服务员），收拾房间，做清洁很及时，认真，走的时候有东西忘了，追了我好长一段距离告诉我。最近浦东大道修路，附件象个打工地。,"Standard business hotels, the biggest advantage is that the location is good.The room is relatively clean and the facilities are okay, but some details need to be improved.The floor waiter is very good (the 6th floor I lived last time, praise the waiter here), clean up the room, clean it in a timely and timely, serious, and forget it when I leave. I chased me for a long distance and told me.Recently, Pudong Avenue was renovated, and the attachment was like a construction site."
1,"房比,但服不.值得一提是西餐.食物方面,人在城可以排在首位!","Fangbi, but it is worthwhile. It is worth mentioning that in terms of Western food. In terms of food, people can be ranked first in the city!"
1,酒店还算不错的，价格实惠，服务也很到位，推荐下！,"The hotel is pretty good, the price is affordable, the service is in place, it is recommended!"
1,宾馆内的环境不错，早上起来我都要逛一圈然后在去吃早饭，入住的人也很多，车场都停满了，服务也可以，总的来说不错，但是没有通过携程预订该酒店，在入住时即可享受该酒店提供的额外优惠，问总台小姐，人家说根本就没有这个，有疑问请自己去找携程问，汗！打携程的电话又总是打不通，只有算了！,"The environment in the hotel is good. I have to walk around in the morning and go to breakfast. There are many people who stay in. The parking lots are full. The service is okay.You can enjoy the additional discounts provided by the hotel when you stay in. Ask Miss Chief Taiwan, people say that there is no such a matter at all. If you have any questions, please go to Ctrip to ask, sweat!The call of Ctrip is always unreasonable, only for the case!"
1,服务态度真好，让人觉得舒服。退房时被告知有件衣服忘在房间，我想回去拿，但他们坚持让服务员去帮我拿过来。进进出出酒店的人都会对你微笑，会弯腰点头打招呼。周边的环境我本人很喜欢，小城镇的感觉。就是有几点不足，一是楼层太低，好像只有4层，我们住一楼，感觉很奇怪。二是房间的隔音不好，老是听到窗户外面的人说话。别的酒店一般都有的士在前面等着，但是这里要走到外面去打车。,"The service attitude is so good and makes people feel comfortable.When checking out, I was told that there was a dress for forgetting to be in the room. I wanted to go back to get it, but they insisted on asking the waiter to help me get it over.Those who enter and leave the hotel will smile at you, and will bend over to say hello.I like the surrounding environment. I feel like a small town.There are a few shortcomings. One is that the floor is too low, it seems that there are only 4 floors. We live on the first floor and feel strange.The second is that the sound insulation in the room is not good, always hearing the people outside the window to speak.Other hotels are usually waiting in front of them, but they have to go outside to take a taxi here."
1,"在副楼的房间有老旧了些,实有必要再整修了,尤其在地毯部份,不然整体上是不错的的.在早餐的服务上还是可以的,仍有著水准.","It is older in the room in the auxiliary building, and it is necessary to renovate, especially in the carpet part, otherwise it is good overall. It is still possible in the breakfast service, and there is still a standard."
1,非常感谢携程为我们安排的酒店我们对该酒店的服务表示满意，希望携程的服务越来越好，为携程的贵宾提供更优良、更全面的服务。,"Thank you very much for the hotel that we arranged for us. We are satisfied with the hotel's service. I hope that Ctrip's service will be better and better, and provide Ctrip's VIPs with better and more comprehensive services."
1,我第一次用携程订房，在长安酒店住得很舒适，餐饮很令人满意。价格仅比前台价格低不多，不是太有竞争优势。,"For the first time, I reached with Ctrip. I lived comfortably at the Changan Hotel, and the catering was very satisfactory.The price is not much lower than the front desk, not too competitive."
1,因工作方便，常往此酒店，交通是很大的考量。不在通巴士和永巴士都不跑一酒店，又少了一些方便。前天入住，前台注意到正好是我的生日，特安排送了一蛋糕，感很心。,"Due to convenient work, traffic is often considered in this hotel.No hotel is not running at the Tong Bus and Yongba, and it is less convenient.Checking up the day before yesterday, the front desk noticed that it was my birthday. I arranged a cake and felt very hearty."
1,酒店地理位置不错，交通非常便利，房间整体感觉还可以，只是浴室有些小。酒店提供的早餐不够丰富。酒店员工整体的服务意识不错，尤其是大堂经理，在安排订车时还特地送给我们一份当地地图，很细心周到。,"The hotel has a good geographical location, the transportation is very convenient, and the overall feeling of the room is okay, but the bathroom is small.The breakfast provided by the hotel is not rich enough.The overall service awareness of the hotel employee, especially the lobby manager, also gave us a local map when arranging the car booking, very careful and thoughtful."
1,不值房价，早餐太糟，也许我去的比较晚，九点左右，没东西吃,"Not worth the house price, the breakfast is too bad, maybe I went late, around nine o'clock, there was nothing to eat"
1,这次虽然订的是标间，但到了以后我换了刚装修好的商务单间，还稍有点装修好的气味，估计再过几天应该没有了。房间虽然不是很大，但总体感觉不错，干净、整洁，房间内少个挂衣服的地方，已经和酒店提了意见，估计能很快解决。酒店地理位置ok，到春熙路不远。总体感觉性价比不错，值得入住。,"Although I booked this time, I changed the business single room I just renovated, and I also had a little decorated odor. It is estimated that it should be gone in a few days.Although the room is not very large, it feels good overall. It is clean and tidy. There is a few places in the room hanging in the room. It has already made opinions with the hotel. It is estimated that it can be solved quickly.The geographical location of the hotel is OK, not far from Chunxi Road.The overall feeling is good cost -effective and worthy of check -in."
1,环境不错，8月18号入住，8月16号安装好了电梯，预约人员对此信息不了解，这几月出行最好的酒店了，价格偏高。,"The environment is good, staying in August 18th, the elevator was installed on August 16th. The appointment staff did not understand the information. In recent months, the best hotel for travel has been high, and the price is high."
1,宽带上网速度挺快，酒店一楼的烧烤不错。酒店整体性价比可以，去酒吧一条街打车10元,"The broadband Internet speed is quite fast, and the barbecue on the first floor of the hotel is good.The overall cost -effectiveness of the hotel is OK, take a bus 10 yuan in a bar on the bar"
1,"物超所值,此次我们是订的三个房间。感慨中西部的服务有时比发达地区好多了。宾馆反馈2008年8月8日：感谢您的入住，并期待您再次光临。","Masterpiece is worth it, this time we are the three rooms we have booked.Silent in the central and western regions is sometimes much better than developed regions.Hotel feedback on August 8, 2008: Thank you for your stay and look forward to your visit again."
