label,review,translated_review
0,因为办事处要装修的原因，我住在这旅馆里．这家靠关系得到所谓４星的旅馆，是怎么样的我现在告诉大家一下，在宜宾去那家都比这家好，晚上这里的鸡叫不停．而且不分公母的．会一直叫到２点，我晚上火了，总台会将那个是男的住的房间告诉给鸡婆，晚上你就别想睡的好．投诉了他们说他们没告,"Because of the decoration of the office, I lived in this hotel.What kind of hotels that rely on the relationship to get the so -called 4 -star. I will tell you now that it is better to go to this house in Yibin. The chickens here are constantly.And regardless of father -in -law.It will always be called until 2 o'clock. I was on fire at night. The main station will tell the room where the man's room lives to the chicken, and you don't want to sleep well at night.Complained that they said they did not sue"
0,国展如家酒店是我住过服务和环境最差的酒店！住店当晚身上就起了不明原因的红包，第二天去天津最好的皮肤病医院长征医院一查，医生当即确诊为由于床铺不洁螨虫引起的过敏！更过分的是这家酒店的一位男性服务员，根本就不经客人同意就进入房间，幸亏没有在洗澡！！！还有一些服务不到的地方都没有必要提了，仅上面两条就真心的希望能帮助广大来天津出差旅游的朋友千万不要再住到这家服务素质差，环境差的酒店，受同样的罪！同时做为携程网的白金会员，希望能帮助携程了解到酒店的情况，不要让这样的酒店拖累了携程良好的名声！,"The National Exhibition Hotel is the worst -service and environmental hotel I have lived!On the night of the shop, there was an unknown red envelope. The next day, I went to Tianjin's best dermatology hospital dean to check the hospital. The doctor immediately diagnosed allergies caused by unclean mites!What's more is a male waiter in this hotel, who entered the room without the consent of the guests. Fortunately, he didn't take a bath!IntersectionIntersectionThere are also some places that cannot be mentioned. There is no need to mention it. The above two are sincerely hope to help friends who come to Tianjin to travel to Tianjin. Do not live in this hotel with poor quality and poor environment.Sin!At the same time, as a Platinum member of Ctrip.com, I hope to help Ctrip understand the situation of the hotel. Do not let such a hotel drag down Ctrip's good reputation!"
0,"theroomistoosamll,andtherestrauntisterrible.thesurroundingareaisdirty宾馆反馈2008年7月21日：Wearesosorryforanyuncomfortableandinconveniencecausedbyourfacilities.Wesupposedyoucouldchooseourdeluxeroomorsuiteforyournextstayformorespace,andwilltryourbesttoimproveourrestaurant.Sincerelywishcanhaveyouwithusagain.","theroomistoosamll,andtherestrauntisterrible.thesurroundingareaisdirty宾馆反馈2008年7月21日：Wearesosorryforanyuncomfortableandinconveniencecausedbyourfacilities.Wesupposedyoucouldchooseourdeluxeroomorsuiteforyournextstayformorespace,andwilltryourbesttoimproveourrestaurant.Sincerelywishcanhaveyouwithusagain."
1,交通倒是方便。价格很成问题，旁边同类型、装修差不多的酒店比这间要便宜（150元），可惜携程没有签约。房间算合格。,"Transportation is convenient.The price is very problematic. Hotels with similar types and decoration are cheaper than this (150 yuan). Unfortunately, Ctrip did not sign a contract.The room is qualified."
1,房间还是一如既往的宽敞明亮，很舒适，在广州市中心能有这样大面积的客房很少，唯一不足是前台CHECKIN慢！,The room is still spacious and bright as ever. It is very comfortable. There are very few rooms with such a large area in the center of Guangzhou. The only disadvantage is that the front desk is slow!
0,第一次用新卡订酒店。简评如下：优点：1.免费升级到套房。2.服务态度好。3.地理位置还好。靠近香港路。窗外望出去就是香格里拉大大的“S”。4.能看见一块像三明治一样大的海。5.两个液晶电视。6.MINIBAR比较便宜。7.里外两套独立的空调系统，出风量大。吹衣服效果不错。缺点：（恐怕比较多）1.房间有新装修的味道。2.房间布局设计问题不小。败笔出处可见。居然还有个隐蔽的衣橱在房间的角落里。3.使用宽带要把书桌拉出来才能看见宽带接口。服务员钻进钻出地帮我找。4.没有睡衣供应。5.装修质量太次了。如果是我的家，我一分钱都不会结给装修队。6.服务有问题。入住的时候，冰箱里什么都没有。MINIBAR什么食品都没有。电话服务台才补上。7.液晶电视是那种小的。大概和我的电脑液晶屏幕差不多大。8.洗漱用品比较次。孤零零地被放在宽大的洗手台上。其它空无一物了。9.保险箱不能用。总之，很多酒店常用设备都缺乏。同样是四星酒店。我还是怀念在栈桥边的泛海名人。房内设施齐全，更加温馨。,"Book the hotel for the first time.The brief comments are as follows: Advantages: 1. Free upgrade to suite.2. Good service attitude.3. Geographical location is fine.Near Hong Kong Road.Looking out the window is the big ""S"" of Shangri -La.4. Can see a sea like sandwiches.5. Two LCD TVs.6.minibar is cheaper.7. Two sets of independent air -conditioning system inside and outside, the air volume is large.The effect of blowing clothes is good.Disadvantages: (I am afraid there are more) 1. The room has a new decoration taste.2. The design of the room layout is not small.The source of the pen is visible.There is actually a hidden wardrobe in the corner of the room.3. Use broadband to pull out the desk to see the broadband interface.The waiter drilled into the ground and helped me find it.4. No pajamas supply.5. The quality of the decoration is too good.If it was my home, I would not get a penny to the decoration team.6. There is a problem with service.In the refrigerator, there was nothing in the refrigerator.There are no foods at minibar.The telephone service desk is only available.7. LCD TV is that kind of small.Probably similar to my computer LCD screen.8. Comparison of washing products.Lonely was placed on a wide washing table.Other empty things.9. The safe cannot be used.In short, many hotels are commonly used.It is also a four -star hotel.I still miss the oven celebrity celebrities by the tower bridge.The facilities in the room are complete and warmer."
1,"酒店挺不错的,接机的车也大,酒店环境也好.离公园大门不远,走走就到,路上还能拍照,很幸运遇上陈大叔给我们做导游.早餐还行.价格略贵些","The hotel is pretty good, the car that picks up the aircraft is also large, the hotel environment is good. Not far from the gate of the park, just walk around, you can still take pictures on the road. Fortunately, Uncle Chen is a tour guide. The breakfast is okay. The price is slightly slightly slightly.More expensive"
1,"酒店的地理位置非常棒,住的高级商务间.感觉房间非常小.门童和服务生都非常热情.还有免费的水果.地毯和装修有些陈旧~","The hotel's geographical location is great, and the high -end business room is living. I feel that the room is very small. The door children and the waiter are very enthusiastic. There are free fruits. The carpet and decoration are old ~"
1,去年出差时就住过中州，当时带客户去的，感觉不错。所以今年出差又选这家了。,I lived in Zhongzhou when I was on a business trip last year. I took customers at the time and felt good.So this year's business trips have been selected again.
1,入住了海悦湾酒店，感觉很不错，我们住的是豪华蜜月房，房间布置的很温馨、浪漫，让我们很是开心和惊喜！房间很新很干净。这里的服务挺好的，有什么问题，服务人员都比较及时的赶来处理。早餐也挺丰富，还有13楼咖啡厅看海非常好！这里的吃住价格我感觉还比较合理，酒店这么贴心的服务让我们感觉到物有所值！,"I stayed at the Haiyue Bay Hotel and felt very good. We lived in a luxurious honeymoon room. The room was very warm and romantic, which made us very happy and surprised!The room is new and clean.The service here is very good. If you have any problems, the service staff comes to deal with it in a timely manner.Breakfast is also very rich, and the cafe on the 13th floor is very good to see the sea!I feel that the price of eating and living here is more reasonable. The intimate service of the hotel makes us feel worthwhile!"
