label,review,translated_review,words-chinese,words-english
0,theroomistoosamll andtherestrauntisterrible thesurroundingareaisdirty宾馆反馈2008年7月21日 Wearesosorryforanyuncomfortableandinconveniencecausedbyourfacilities Wesupposedyoucouldchooseourdeluxeroomorsuiteforyournextstayformorespace andwilltryourbesttoimproveourrestaurant Sincerelywishcanhaveyouwithusagain ,theroomistoosamll andtherestrauntisterrible thesurroundingareaisdirty宾馆反馈2008年7月21日 Wearesosorryforanyuncomfortableandinconveniencecausedbyourfacilities Wesupposedyoucouldchooseourdeluxeroomorsuiteforyournextstayformorespace andwilltryourbesttoimproveourrestaurant Sincerelywishcanhaveyouwithusagain ,"['宾馆', '反馈', '年', '月', '日']","['theroomistoosamll', 'andtherestrauntisterrible', 'thesurroundingareaisdirty', 'Wearesosorryforanyuncomfortableandinconveniencecausedbyourfacilities', 'Wesupposedyoucouldchooseourdeluxeroomorsuiteforyournextstayformorespace', 'andwilltryourbesttoimproveourrestaurant', 'Sincerelywishcanhaveyouwithusagain']"
1,交通倒是方便 价格很成问题 旁边同类型 装修差不多的酒店比这间要便宜 150元  可惜携程没有签约 房间算合格 ,Transportation is convenient The price is very problematic  Hotels with similar types and decoration are cheaper than this  150 yuan   Unfortunately  Ctrip did not sign a contract The room is qualified ,"['交通', '倒', '是', '方便', '价格', '很', '成问题', '旁边', '同', '类型', '装修', '差不多', '的', '酒店', '比', '这间', '要', '便宜', '元', '可惜', '携程', '没有', '签约', '房间', '算', '合格']","['Transportation', 'convenient', 'The', 'price', 'very', 'problematic', 'Hotels', 'similar', 'types', 'decoration', 'cheaper', 'yuan', 'Unfortunately', 'Ctrip', 'sign', 'contract', 'The', 'room', 'qualified']"
1,房间还是一如既往的宽敞明亮 很舒适 在广州市中心能有这样大面积的客房很少 唯一不足是前台CHECKIN慢 ,The room is still spacious and bright as ever  It is very comfortable  There are very few rooms with such a large area in the center of Guangzhou  The only disadvantage is that the front desk is slow ,"['房间', '还是', '一如既往', '的', '宽敞明亮', '很', '舒适', '在', '广州市', '中心', '能', '有', '这样', '大面积', '的', '客房', '很少', '唯一', '不足', '是', '前台', '慢']","['The', 'room', 'still', 'spacious', 'bright', 'ever', 'It', 'very', 'comfortable', 'There', 'very', 'rooms', 'large', 'area', 'center', 'Guangzhou', 'The', 'disadvantage', 'front', 'desk', 'slow']"
0,第一次用新卡订酒店 简评如下 优点 1 免费升级到套房 2 服务态度好 3 地理位置还好 靠近香港路 窗外望出去就是香格里拉大大的 S  4 能看见一块像三明治一样大的海 5 两个液晶电视 6 MINIBAR比较便宜 7 里外两套独立的空调系统 出风量大 吹衣服效果不错 缺点  恐怕比较多 1 房间有新装修的味道 2 房间布局设计问题不小 败笔出处可见 居然还有个隐蔽的衣橱在房间的角落里 3 使用宽带要把书桌拉出来才能看见宽带接口 服务员钻进钻出地帮我找 4 没有睡衣供应 5 装修质量太次了 如果是我的家 我一分钱都不会结给装修队 6 服务有问题 入住的时候 冰箱里什么都没有 MINIBAR什么食品都没有 电话服务台才补上 7 液晶电视是那种小的 大概和我的电脑液晶屏幕差不多大 8 洗漱用品比较次 孤零零地被放在宽大的洗手台上 其它空无一物了 9 保险箱不能用 总之 很多酒店常用设备都缺乏 同样是四星酒店 我还是怀念在栈桥边的泛海名人 房内设施齐全 更加温馨 ,Book the hotel for the first time The brief comments are as follows  Advantages  1  Free upgrade to suite 2  Good service attitude 3  Geographical location is fine Near Hong Kong Road Looking out the window is the big  S  of Shangri  La 4  Can see a sea like sandwiches 5  Two LCD TVs 6 minibar is cheaper 7  Two sets of independent air  conditioning system inside and outside  the air volume is large The effect of blowing clothes is good Disadvantages   I am afraid there are more  1  The room has a new decoration taste 2  The design of the room layout is not small The source of the pen is visible There is actually a hidden wardrobe in the corner of the room 3  Use broadband to pull out the desk to see the broadband interface The waiter drilled into the ground and helped me find it 4  No pajamas supply 5  The quality of the decoration is too good If it was my home  I would not get a penny to the decoration team 6  There is a problem with service In the refrigerator  there was nothing in the refrigerator There are no foods at minibar The telephone service desk is only available 7  LCD TV is that kind of small Probably similar to my computer LCD screen 8  Comparison of washing products Lonely was placed on a wide washing table Other empty things 9  The safe cannot be used In short  many hotels are commonly used It is also a four  star hotel I still miss the oven celebrity celebrities by the tower bridge The facilities in the room are complete and warmer ,"['第一次', '用', '新卡订', '酒店', '简评', '如下', '优点', '免费', '升级', '到', '套房', '服务态度', '好', '地理位置', '还好', '靠近', '香港', '路', '窗外', '望出去', '就是', '香格里拉', '大大的', '能', '看见', '一块', '像', '三明治', '一样', '大', '的', '海', '两个', '液晶电视', '比较', '便宜', '里外', '两套', '独立', '的', '空调', '系统', '出', '风量', '大', '吹', '衣服', '效果', '不错', '缺点', '恐怕', '比较', '多', '房间', '有', '新装修', '的', '味道', '房间', '布局', '设计', '问题', '不小', '败笔', '出处', '可见', '居然', '还有', '个', '隐蔽', '的', '衣橱', '在', '房间', '的', '角落里', '使用', '宽带', '要', '把', '书桌', '拉', '出来', '才能', '看见', '宽带', '接口', '服务员', '钻进', '钻出', '地', '帮', '我', '找', '没有', '睡衣', '供应', '装修', '质量', '太次', '了', '如果', '是', '我', '的', '家', '我', '一分钱', '都', '不会', '结给', '装修', '队', '服务', '有', '问题', '入住', '的', '时候', '冰箱', '里', '什么', '都', '没有', '什么', '食品', '都', '没有', '电话', '服务台', '才', '补上', '液晶电视', '是', '那种', '小', '的', '大概', '和', '我', '的', '电脑', '液晶屏幕', '差不多', '大', '洗漱', '用品', '比较', '次', '孤零零', '地被', '放在', '宽大', '的', '洗手台', '上', '其它', '空无一物', '了', '保险箱', '不能', '用', '总之', '很多', '酒店', '常用', '设备', '都', '缺乏', '同样', '是', '四星', '酒店', '我', '还是', '怀念', '在', '栈桥', '边', '的', '泛海', '名人', '房', '内', '设施', '齐全', '更加', '温馨']","['Book', 'hotel', 'first', 'time', 'The', 'brief', 'comments', 'follows', 'Advantages', 'Free', 'upgrade', 'suite', 'Good', 'service', 'attitude', 'Geographical', 'location', 'fine', 'Near', 'Hong', 'Kong', 'Road', 'Looking', 'window', 'big', 'S', 'Shangri', 'La', 'Can', 'see', 'sea', 'like', 'sandwiches', 'Two', 'LCD', 'TVs', 'minibar', 'cheaper', 'Two', 'sets', 'independent', 'air', 'conditioning', 'system', 'inside', 'outside', 'air', 'volume', 'large', 'The', 'effect', 'blowing', 'clothes', 'good', 'Disadvantages', 'I', 'afraid', 'The', 'room', 'new', 'decoration', 'taste', 'The', 'design', 'room', 'layout', 'small', 'The', 'source', 'pen', 'visible', 'There', 'actually', 'hidden', 'wardrobe', 'corner', 'room', 'Use', 'broadband', 'pull', 'desk', 'see', 'broadband', 'interface', 'The', 'waiter', 'drilled', 'ground', 'helped', 'find', 'No', 'pajamas', 'supply', 'The', 'quality', 'decoration', 'good', 'If', 'home', 'I', 'would', 'get', 'penny', 'decoration', 'team', 'There', 'problem', 'service', 'In', 'refrigerator', 'nothing', 'refrigerator', 'There', 'foods', 'minibar', 'The', 'telephone', 'service', 'desk', 'available', 'LCD', 'TV', 'kind', 'small', 'Probably', 'similar', 'computer', 'LCD', 'screen', 'Comparison', 'washing', 'products', 'Lonely', 'placed', 'wide', 'washing', 'table', 'Other', 'empty', 'things', 'The', 'safe', 'used', 'In', 'short', 'many', 'hotels', 'commonly', 'used', 'It', 'also', 'four', 'star', 'hotel', 'I', 'still', 'miss', 'oven', 'celebrity', 'celebrities', 'tower', 'bridge', 'The', 'facilities', 'room', 'complete', 'warmer']"
1,入住了海悦湾酒店 感觉很不错 我们住的是豪华蜜月房 房间布置的很温馨 浪漫 让我们很是开心和惊喜 房间很新很干净 这里的服务挺好的 有什么问题 服务人员都比较及时的赶来处理 早餐也挺丰富 还有13楼咖啡厅看海非常好 这里的吃住价格我感觉还比较合理 酒店这么贴心的服务让我们感觉到物有所值 ,I stayed at the Haiyue Bay Hotel and felt very good  We lived in a luxurious honeymoon room  The room was very warm and romantic  which made us very happy and surprised The room is new and clean The service here is very good  If you have any problems  the service staff comes to deal with it in a timely manner Breakfast is also very rich  and the cafe on the 13th floor is very good to see the sea I feel that the price of eating and living here is more reasonable  The intimate service of the hotel makes us feel worthwhile ,"['入住', '了', '海悦湾', '酒店', '感觉', '很', '不错', '我们', '住', '的', '是', '豪华', '蜜月', '房', '房间', '布置', '的', '很', '温馨', '浪漫', '让', '我们', '很', '是', '开心', '和', '惊喜', '房间', '很', '新', '很', '干净', '这里', '的', '服务', '挺', '好', '的', '有', '什么', '问题', '服务', '人员', '都', '比较', '及时', '的', '赶来', '处理', '早餐', '也', '挺', '丰富', '还有', '楼', '咖啡厅', '看海', '非常', '好', '这里', '的', '吃', '住', '价格', '我', '感觉', '还', '比较', '合理', '酒店', '这么', '贴心', '的', '服务', '让', '我们', '感觉', '到', '物有所值']","['I', 'stayed', 'Haiyue', 'Bay', 'Hotel', 'felt', 'very', 'good', 'We', 'lived', 'luxurious', 'honeymoon', 'room', 'The', 'room', 'very', 'warm', 'romantic', 'made', 'us', 'very', 'happy', 'surprised', 'The', 'room', 'new', 'clean', 'The', 'service', 'very', 'good', 'If', 'problems', 'service', 'staff', 'comes', 'deal', 'timely', 'manner', 'Breakfast', 'also', 'very', 'rich', 'cafe', 'th', 'floor', 'very', 'good', 'see', 'sea', 'I', 'feel', 'price', 'eating', 'living', 'reasonable', 'The', 'intimate', 'service', 'hotel', 'makes', 'us', 'feel', 'worthwhile']"
1,每次到杭州都住这家酒店 习惯了 这回房间感觉有点旧 听说酒店正在一部分一部分的装修翻新 希望下回能住到新装修的房间 酒店提供枕头套餐 可以选择不同好几款枕头 这点比较有特色 床很舒服 不是太软也不太硬 宾馆反馈2008年5月20日 感谢您的点评 酒店目前房间装修已经结束 欢迎您下次来体验我们新装修的大床房 期待您的再次光临 ,Every time I go to Hangzhou  I live in this hotel and get used to it This time the room feels a bit old  I heard that the hotel is renovated in part of the decoration  hoping to live in the newly renovated room next time The hotel provides pillow packages and can choose different pillows  This is more distinctive  The bed is very comfortable  It is not too soft or hard Hotel feedback on May 20  2008  Thank you for your review  The hotel s current room decoration has ended  Welcome to experience our newly renovated large beds next time  Looking forward to your visit again ,"['每次', '到', '杭州', '都', '住', '这家', '酒店', '习惯', '了', '这回', '房间', '感觉', '有点', '旧', '听说', '酒店', '正在', '一部分一部分', '的', '装修', '翻新', '希望', '下回', '能住', '到', '新装修', '的', '房间', '酒店', '提供', '枕头', '套餐', '可以', '选择', '不同', '好', '几款', '枕头', '这点', '比较', '有', '特色', '床', '很', '舒服', '不是', '太软', '也', '不太硬', '宾馆', '反馈', '年', '月', '日', '感谢您', '的', '点评', '酒店', '目前', '房间', '装修', '已经', '结束', '欢迎您', '下次', '来', '体验', '我们', '新装修', '的', '大床', '房', '期待', '您', '的', '再次', '光临']","['Every', 'time', 'I', 'go', 'Hangzhou', 'I', 'live', 'hotel', 'get', 'used', 'This', 'time', 'room', 'feels', 'bit', 'old', 'I', 'heard', 'hotel', 'renovated', 'part', 'decoration', 'hoping', 'live', 'newly', 'renovated', 'room', 'next', 'time', 'The', 'hotel', 'provides', 'pillow', 'packages', 'choose', 'different', 'pillows', 'This', 'distinctive', 'The', 'bed', 'very', 'comfortable', 'It', 'soft', 'hard', 'Hotel', 'feedback', 'May', 'Thank', 'review', 'The', 'hotel', 'current', 'room', 'decoration', 'ended', 'Welcome', 'experience', 'newly', 'renovated', 'large', 'beds', 'next', 'time', 'Looking', 'forward', 'visit']"
0,个人认为不符合4星的条件 房间很潮湿 酶味太重  根本没办法入睡 浴室的条件也不怎么样 总之感觉更像个快捷式酒店,Personally  I think it does not meet the conditions of 4 stars  The room is very humid  the enzyme taste is too heavy  and there is no way to fall asleep  The conditions of the bathroom are not good  In short,"['个人', '认为', '不', '符合', '星', '的', '条件', '房间', '很', '潮湿', '酶', '味', '太重', '根本', '没', '办法', '入睡', '浴室', '的', '条件', '也', '不怎么样', '总之', '感觉', '更', '像', '个', '快捷', '式', '酒店']","['Personally', 'I', 'think', 'meet', 'conditions', 'stars', 'The', 'room', 'very', 'humid', 'enzyme', 'taste', 'heavy', 'way', 'fall', 'asleep', 'The', 'conditions', 'bathroom', 'good', 'In', 'short']"
1,地理位置还行 就在县城中心 出行比较方便 而且下面临河 风景也还说得过去 但因为是老酒店了 设备当然很一般 而早餐就惨不忍睹了  居然只有8样 一点不像是三星标准提供的早餐 另外 可能会要求你10点前退房 而不是12点 ,The geographical location is okay  It is more convenient to travel in the center of the county seat And in the face of the river  the scenery is still passing But because it is an old hotel  the equipment is of course average The breakfast is terrible  it is only 8  not like the breakfast provided by the Samsung standard In addition  you may ask you to check out at 10 o clock instead of 12 o clock ,"['地理位置', '还', '行', '就', '在', '县城', '中心', '出行', '比较', '方便', '而且', '下面', '临河', '风景', '也', '还', '说得过去', '但', '因为', '是', '老', '酒店', '了', '设备', '当然', '很', '一般', '而', '早餐', '就', '惨不忍睹', '了', '居然', '只有', '样', '一点', '不', '像是', '三星', '标准', '提供', '的', '早餐', '另外', '可能', '会', '要求', '你', '点前', '退房', '而', '不是', '点']","['The', 'geographical', 'location', 'okay', 'It', 'convenient', 'travel', 'center', 'county', 'seat', 'And', 'face', 'river', 'scenery', 'still', 'passing', 'But', 'old', 'hotel', 'equipment', 'course', 'average', 'The', 'breakfast', 'terrible', 'like', 'breakfast', 'provided', 'Samsung', 'standard', 'In', 'addition', 'may', 'ask', 'check', 'clock', 'instead', 'clock']"
1,每次和王总 Roby出来玩 都喜欢住套房 这次找了个机会入住苏宁环球 Ctrip卡预定网上评论较好的 丽家套房B  一室一厅一厨87平米 RMB650 22楼 送水果和鲜花 单早 免费游泳池和健身房 送下午茶 免费宽带 免费地下车位 全部落地窗 厨房有冰箱 电磁灶台和洗衣机 适合很多朋友来过周末 不过卫生间里除了龙头是hansgrohe外其他洁具档次略低 客厅的复合地板直接铺水泥地上 脚感太硬 还不如全部用地毯呢 有点遗憾的是给了我们面朝上海路的房间 下次选个礼拜六有球赛面向五台山的房间 还可以免费看球 ,Every time I come out with President Wang and Roby  I like to live in a suite  This time I found a chance to stay in Suning Global On the 22nd floor  send fruits and flowers  single morning  free swimming pool and gym  send afternoon tea  free broadband  free underground parkIn addition to the faucet is Hansgrohe  other sanitary wares are slightly lower in grade  The composite floor of the living room is directly laid on the cement floor  and the feet feel too hard  It is better to use all the carpets  It is a bit regrettable that we have given us the room facing Shanghai Road Saturdays have a goal in the room for Wutai Mountain  and you can also watch the ball for free ,"['每次', '和', '王', '总', '出来', '玩', '都', '喜欢', '住', '套房', '这次', '找', '了', '个', '机会', '入住', '苏宁', '环球', '卡', '预定', '网上', '评论', '较', '好', '的', '丽家', '套房', '一室', '一厅', '一厨', '平米', '楼', '送', '水果', '和', '鲜花', '单早', '免费', '游泳池', '和', '健身房', '送', '下午茶', '免费', '宽带', '免费', '地下', '车位', '全部', '落地窗', '厨房', '有', '冰箱', '电磁', '灶台', '和', '洗衣机', '适合', '很多', '朋友', '来过', '周末', '不过', '卫生间', '里', '除了', '龙头', '是', '外', '其他', '洁具', '档次', '略低', '客厅', '的', '复合地板', '直接', '铺', '水泥', '地上', '脚感', '太', '硬', '还', '不如', '全部', '用', '地毯', '呢', '有点', '遗憾', '的', '是', '给', '了', '我们', '面朝', '上海', '路', '的', '房间', '下次', '选个', '礼拜六', '有', '球赛', '面向', '五台山', '的', '房间', '还', '可以', '免费', '看', '球']","['Every', 'time', 'I', 'come', 'President', 'Wang', 'Roby', 'I', 'like', 'live', 'suite', 'This', 'time', 'I', 'found', 'chance', 'stay', 'Suning', 'Global', 'On', 'nd', 'floor', 'send', 'fruits', 'flowers', 'single', 'morning', 'free', 'swimming', 'pool', 'gym', 'send', 'afternoon', 'tea', 'free', 'broadband', 'free', 'underground', 'parkIn', 'addition', 'faucet', 'Hansgrohe', 'sanitary', 'wares', 'slightly', 'lower', 'grade', 'The', 'composite', 'floor', 'living', 'room', 'directly', 'laid', 'cement', 'floor', 'feet', 'feel', 'hard', 'It', 'better', 'use', 'carpets', 'It', 'bit', 'regrettable', 'given', 'us', 'room', 'facing', 'Shanghai', 'Road', 'Saturdays', 'goal', 'room', 'Wutai', 'Mountain', 'also', 'watch', 'ball', 'free']"
1,10月2日入住 4日离店 酒店很有特色 房间很干净 被褥都很新 就是床稍有点硬 周围交通很方便 公交线路也很多 步行到秋林公司不到20分钟 从火车站打车就是起车费8元 比起住在东大直街 这里很安静 宾馆楼下是肯德基 周围有酒巴 饭店和超市 推开房间的窗户 就能看到阿列克谢耶夫教堂 步行1分钟就可到教堂 10元的早餐还不错 但是前台服务需要提高 办理入住的时间太长 而且态度也不好 总体来说 还是很满意 下次还会选择再入住这家宾馆 ,Check in on October 2nd and leave the store on the 4th The hotel is very distinctive  the room is clean  and the bedding is new  that is  the bed is slightly hard The surrounding traffic is very convenient  and there are many bus lines  It is less than 20 minutes walking to Qiulin Taking a taxi from the railway station is 8 yuan Here is quiet than living in Dongda Zhi Street The hotel is KFC downstairs  surrounded by wines  restaurants and supermarkets Push the window of the room  you can see the Church of Alexeyev  you can go to the church in 1 minute The breakfast of 10 yuan is not bad However  the front desk service needs to be improved  the time to check in is too long  and the attitude is not good Overall  I am still very satisfied  and I will choose to stay in this hotel next time ,"['月', '日', '入住', '日离店', '酒店', '很', '有', '特色', '房间', '很', '干净', '被褥', '都', '很', '新', '就是', '床', '稍', '有点', '硬', '周围', '交通', '很', '方便', '公交线路', '也', '很多', '步行', '到秋林', '公司', '不到', '分钟', '从', '火车站', '打车', '就是', '起', '车费', '元', '比起', '住', '在', '东大', '直街', '这里', '很', '安静', '宾馆', '楼下', '是', '肯德基', '周围', '有', '酒巴', '饭店', '和', '超市', '推开', '房间', '的', '窗户', '就', '能', '看到', '阿列克谢耶夫', '教堂', '步行', '分钟', '就', '可到', '教堂', '元', '的', '早餐', '还', '不错', '但是', '前台', '服务', '需要', '提高', '办理', '入住', '的', '时间', '太', '长', '而且', '态度', '也', '不好', '总体', '来说', '还是', '很', '满意', '下次', '还会', '选择', '再', '入住', '这家', '宾馆']","['Check', 'October', 'nd', 'leave', 'store', 'th', 'The', 'hotel', 'very', 'distinctive', 'room', 'clean', 'bedding', 'new', 'bed', 'slightly', 'hard', 'The', 'surrounding', 'traffic', 'very', 'convenient', 'many', 'bus', 'lines', 'It', 'less', 'minutes', 'walking', 'Qiulin', 'Taking', 'taxi', 'railway', 'station', 'yuan', 'Here', 'quiet', 'living', 'Dongda', 'Zhi', 'Street', 'The', 'hotel', 'KFC', 'downstairs', 'surrounded', 'wines', 'restaurants', 'supermarkets', 'Push', 'window', 'room', 'see', 'Church', 'Alexeyev', 'go', 'church', 'minute', 'The', 'breakfast', 'yuan', 'bad', 'However', 'front', 'desk', 'service', 'needs', 'improved', 'time', 'check', 'long', 'attitude', 'good', 'Overall', 'I', 'still', 'very', 'satisfied', 'I', 'choose', 'stay', 'hotel', 'next', 'time']"
